Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,2nd phase - general contingent,3rd choice,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Services/Security/Sales,Administrative,127.3,yes,no,no,yes,female,no,18,no,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent ,2nd choice,Equinculture,daytime,Secondary education,137.0,Portuguese,Degree,Basic Ed 3rd Cycle,Technicians,Services/Security/Sales,136.3,yes,no,no,yes,female,no,20,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
single,1st phase - general contingent ,2nd choice,Basic Education,daytime,Secondary education,140.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Skilled Workers,Skilled Workers,124.6,yes,no,no,yes,female,no,18,no,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
single,1st phase - general contingent ,4th choice,Animation and Multimedia Design,daytime,Secondary education,122.0,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Machine Operators,120.3,no,no,no,yes,female,yes,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,3rd phase - general contingent ,5th choice,Oral Hygiene,daytime,Secondary education,127.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Administrative,Skilled Workers,121.8,yes,no,no,yes,female,no,20,no,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent ,5th choice,Nursing,daytime,Secondary education,142.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Legislative/Executives,Legislative/Executives,125.5,yes,no,no,yes,female,no,18,no,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent ,5th choice,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Administrative,Skilled Workers,114.9,yes,no,no,yes,female,yes,19,no,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,126.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technicians,Skilled Workers,123.9,no,no,no,yes,female,no,19,no,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,151.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,157.0,yes,no,yes,yes,female,yes,18,no,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,3rd choice,Social Service,daytime,Secondary education,115.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Skilled Workers,Machine Operators,116.4,yes,no,no,yes,female,no,21,no,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent ,2nd choice,Veterinary Nursing,daytime,Secondary education,138.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technicians,Technicians,131.0,yes,no,no,yes,female,no,18,no,0,5,9,5,12.66666667,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent ,2nd choice,Management,daytime,Secondary education,135.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Unskilled Workers,Unskilled Workers,122.1,yes,no,no,yes,female,no,20,no,0,5,6,5,12.0,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,3rd choice,Nursing,daytime,Secondary education,127.0,Portuguese,Degree,Degree,Legislative/Executives,Armed Forces,118.8,yes,no,no,yes,male,no,19,no,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
single,Technological specialization diploma holders,2nd choice,Agronomy,daytime,Technological specialization course,150.0,Portuguese,Master's,Doctorate,Administrative,Intellectuals,150.0,no,no,no,yes,male,no,21,no,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled
single,Change of institution/course,2nd choice,Communication Design,daytime,Secondary education,125.0,Portuguese,Professional higher technical,Degree,ICT specialists,Finance/PR/Org specialists,130.0,yes,no,no,yes,male,no,20,no,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent ,2nd choice,Management,daytime,Secondary education,143.0,Portuguese,Secondary Education,Secondary Education,Administrative,Farmers,138.8,no,no,no,no,male,no,18,no,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
single,3rd phase - general contingent ,2nd choice,Social Service (evening attendance),evening,Secondary education,138.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Unskilled Workers,Services/Security/Sales,134.5,yes,no,no,yes,female,no,19,no,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,2nd choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Bachelor's,Basic Ed 1st Cycle,Technicians,Unskilled Workers,131.4,no,no,no,yes,male,no,34,no,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
single,Over 23 years old,2nd choice,Biofuel Production Technologies,daytime,Secondary education,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Farmers,102.5,no,no,yes,no,male,no,37,no,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
single,Over 23 years old,2nd choice,Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portuguese,Unknown,Basic Ed 1st Cycle,Student,Student,128.8,yes,no,no,yes,male,no,43,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Change of course,2nd choice,Management,daytime,Secondary education,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Farmers,Farmers,122.9,no,no,no,yes,female,no,55,no,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
divorced,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Technicians,113.9,yes,no,no,yes,female,no,39,no,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,2nd choice,Equinculture,daytime,Technological specialization course,120.0,Spanish,Master's,Master's,Technicians,Farmers,120.0,no,no,yes,no,female,no,20,yes,2,6,13,3,11.66666667,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent ,6th choice,Journalism and Communication,daytime,Secondary education,126.0,Portuguese,Degree,Degree,Intellectuals,Intellectuals,121.1,no,no,yes,yes,female,no,18,no,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent ,3rd choice,Management,daytime,Secondary education,133.0,Portuguese,Degree,Basic Ed 3rd Cycle,Intellectuals,Skilled Workers,120.4,yes,no,no,yes,female,no,22,no,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent ,7th choice,Nursing,daytime,Secondary education,103.0,Portuguese,Secondary Education,Degree,Intellectuals,Intellectuals,100.6,yes,yes,no,yes,female,no,22,no,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,2nd choice,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Services/Security/Sales,Services/Security/Sales,121.4,no,no,no,no,female,no,20,no,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,109.7,no,no,no,yes,female,no,29,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,2nd choice,Management (evening attendance),evening,Secondary education,154.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Administrative,Services/Security/Sales,134.1,no,no,no,yes,female,no,24,no,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,3rd choice,Social Service,daytime,Secondary education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,127.6,yes,no,no,yes,female,no,18,no,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,7th choice,Nursing,daytime,Secondary education,132.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Skilled Workers,Skilled Workers,132.4,yes,no,no,yes,female,yes,22,no,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
single,Technological specialization diploma holders,2nd choice,Social Service (evening attendance),evening,Technological specialization course,130.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,133.4,no,no,no,yes,female,yes,21,no,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,139.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,126.1,no,no,no,yes,female,yes,19,no,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,2nd choice,Tourism ,daytime,Secondary education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Skilled Workers,113.5,no,no,no,yes,female,yes,24,no,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,139.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Farmers,Farmers,121.3,yes,no,no,yes,female,yes,19,no,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent ,2nd choice,Journalism and Communication,daytime,Secondary education,127.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Skilled Workers,Skilled Workers,121.8,yes,no,no,yes,female,yes,20,no,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent ,4th choice,Equinculture,daytime,Secondary education,167.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Other,Other,159.3,no,no,no,yes,female,no,19,no,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,female,no,27,no,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Services/Security/Sales,Services/Security/Sales,129.1,yes,no,no,yes,female,no,18,no,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
married,Holders of other higher courses,2nd choice,Tourism ,daytime,degree,130.0,Portuguese,Secondary Education,Degree,Administrative,Technicians,130.0,no,no,no,yes,female,no,39,no,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,2nd choice,Equinculture,daytime,Higher education - degree (1st cycle),129.0,Portuguese,Degree,Degree,Intellectuals,Intellectuals,155.3,yes,no,no,yes,female,no,27,no,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,2nd choice,Nursing,daytime,Secondary education,141.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Skilled Workers,Armed Forces,139.8,yes,no,no,yes,female,no,18,no,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent ,4th choice,Animation and Multimedia Design,daytime,Secondary education,125.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Administrative,Unskilled Workers,115.2,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent ,3rd choice,Nursing,daytime,Secondary education,125.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,114.9,no,no,no,yes,female,no,18,no,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate
single,Technological specialization diploma holders,2nd choice,Social Service,daytime,Technological specialization course,130.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Unskilled Workers,Unskilled Workers,131.9,no,no,no,yes,female,yes,21,no,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,4th choice,Animation and Multimedia Design,daytime,Secondary education,133.0,Portuguese,Secondary Education,Basic Ed 1st Cycle,Administrative,Skilled Workers,126.0,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,2nd choice,Communication Design,daytime,Secondary education,127.0,Portuguese,Secondary Education,Secondary Education,Technicians,Administrative,130.2,yes,no,no,yes,male,no,19,no,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
single,Change of course,2nd choice,Communication Design,daytime,Secondary education,116.0,Portuguese,Secondary Education,Secondary Education,Technicians,Technicians,120.9,no,no,no,yes,male,no,24,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
divorced,Transfer,2nd choice,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education,Secondary Education,Services/Security/Sales,Services/Security/Sales,126.0,yes,no,no,yes,male,no,29,no,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent ,4th choice,Animation and Multimedia Design,daytime,Secondary education,139.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Services/Security/Sales,Technicians,128.2,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
single,Technological specialization diploma holders,2nd choice,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,130.0,yes,no,no,yes,male,no,23,no,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent ,4th choice,Management,daytime,Secondary education,125.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Skilled Workers,Skilled Workers,120.1,no,no,yes,yes,male,no,19,no,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
single,Over 23 years old,2nd choice,Tourism ,daytime,Secondary education,160.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Skilled Workers,Armed Forces,100.0,no,no,no,yes,male,no,26,no,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
single,2nd phase - general contingent,2nd choice,Management,daytime,Secondary education,148.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Services/Security/Sales,Services/Security/Sales,134.0,no,no,no,yes,male,no,18,no,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,2nd choice,Nursing,daytime,Secondary education,150.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Machine Operators,Administrative,130.8,no,no,no,yes,male,no,24,no,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,141.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Services/Security/Sales,Armed Forces,135.8,yes,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,5th choice,Tourism ,daytime,Secondary education,118.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Services/Security/Sales,Skilled Workers,111.7,yes,no,no,yes,male,no,18,no,0,6,12,3,11.66666667,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent ,3rd choice,Journalism and Communication,daytime,Secondary education,142.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,132.9,yes,no,no,yes,male,no,18,no,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,4th choice,Management,daytime,Secondary education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Administrative,Skilled Workers,115.5,yes,no,yes,yes,male,no,18,no,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,Dropout
single,3rd phase - general contingent ,5th choice,Tourism ,daytime,Secondary education,106.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Skilled Workers,Skilled Workers,106.0,yes,no,no,yes,male,yes,21,no,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,5th choice,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Unskilled Workers,Machine Operators,120.3,yes,no,yes,yes,male,yes,19,no,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,5th choice,Nursing,daytime,Secondary education,150.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,130.8,no,no,no,yes,male,yes,22,no,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,16.2,0.3,-0.92,Graduate
married,Over 23 years old,2nd choice,Social Service (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Farmers,117.0,no,no,no,yes,male,no,33,no,0,6,8,6,12.0,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent ,7th choice,Basic Education,daytime,Secondary education,114.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Unskilled Workers,110.2,yes,no,no,yes,male,no,20,no,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,2nd choice,Management (evening attendance),evening,bachelor's degree,140.0,Portuguese,Degree,Degree,Intellectuals,Intellectuals,155.7,yes,no,no,yes,male,no,35,no,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,2nd choice,Agronomy,daytime,master's,160.0,Portuguese,Degree,Degree,Administrative,Intellectuals,180.4,no,no,yes,yes,male,no,24,no,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,2nd choice,Tourism ,daytime,Secondary education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Administrative,Administrative,125.5,no,no,no,yes,male,no,18,no,0,5,6,5,12.0,0,0,5,8,3,11.33333333,0,12.7,3.7,-1.7,Enrolled
married,Over 23 years old,2nd choice,Social Service (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Farmers,110.0,yes,no,no,yes,female,no,33,no,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
single,Transfer,2nd choice,Nursing,daytime,Secondary education,160.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Skilled Workers,161.0,yes,no,no,yes,female,yes,22,no,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
